Date,Open,Close,High,Low,Volume,RSI14,SMA14,EMA14,MACD_sl,MACD_h,Log_Returns,Log_Trading_Range,Log_Volume_Change,Previous_10_Day_Volatility,Previous_30_Day_Volatility,Next_10_Days_Volatility
1990-10-05,312.69,311.5,314.79,305.76,153380000,43.23,310.62,312.13,-5.06,1.09,-0.0038129461918332552,0.029105269345966356,0.05336116381131717,0.01560775952247648,0.012727297415165569,0.016127863668869244
1990-10-08,311.5,313.48,315.03,311.5,99470000,44.61,310.25,312.31,-4.76,1.22,0.006336223957156051,0.011268534158503485,-0.43306241117238997,0.013630875318786793,0.012506838815710172,0.017799639910359304
1990-10-09,313.48,305.1,313.48,305.09,145610000,39.32,309.43,311.35,-4.57,0.75,-0.02709597046203971,0.02712874713816049,0.38107572355848873,0.016107619435739545,0.012029170165960671,0.017837151169049766
1990-10-10,305.1,300.39,306.43,299.21,169190000,39.63,308.64,309.88,-4.54,0.15,-0.015557961334803139,0.023843676298901606,0.150090529047894,0.01651624068026453,0.012286103545470526,0.01539922613078545
1990-10-11,300.39,295.46,301.45,294.51,180060000,36.38,307.51,307.96,-4.66,-0.5,-0.016548166494358973,0.023291206562875644,0.06226778490962559,0.016787505494849055,0.012370491753460477,0.014100135285109294
1990-10-12,295.46,300.03,301.68,295.22,187940000,45.93,307.18,306.9,-4.8,-0.55,0.015349005763072299,0.021646011841251145,0.042832634274589054,0.01662158057230861,0.012523400959300216,0.012905888208061824
1990-10-15,300.03,303.23,304.79,296.41,164980000,45.48,306.82,306.41,-4.88,-0.31,0.010609123808018595,0.02787938383088928,-0.13029850852233338,0.013642483197185225,0.012471909466014322,0.014106726579973583
1990-10-16,303.23,298.92,304.34,298.12,149570000,44.59,306.38,305.41,-4.97,-0.37,-0.014315614402462984,0.020649407478475545,-0.0980597437613504,0.013909463938081753,0.012647637079875236,0.014092851331737937
1990-10-17,298.92,298.76,301.5,297.79,161260000,47.91,306.23,304.53,-5.06,-0.35,-0.0005354035732239026,0.012381476064751595,0.07525345858563881,0.013757910208968185,0.012592827328978337,0.013363457077999496
1990-10-18,298.76,305.74,305.74,298.75,204110000,49.72,306.2,304.69,-5.02,0.17,0.023094492084021923,0.023127964327167128,0.23564109494907726,0.016127863668869136,0.013307617806072043,0.013357586374295412
1990-10-19,305.74,312.48,312.48,305.74,221480000,47.66,306.03,305.73,-4.78,0.96,0.021805399555480776,0.021805399555480776,0.08167322774881569,0.01779963991035921,0.013849107051020026,0.011540620270748805
1990-10-22,312.48,314.76,315.83,310.47,152650000,49.59,306.0,306.93,-4.38,1.6,0.007269976538413658,0.017116815794875784,-0.3721845727738824,0.01783715116904967,0.013906904980979398,0.010371915224910754
1990-10-23,314.76,312.36,315.06,312.06,146300000,50.9,306.06,307.66,-3.93,1.8,-0.007654074872307959,0.009567619864786714,-0.04248841115480673,0.015399226130785341,0.01396346089229958,0.010499952117979862
1990-10-24,312.36,312.6,313.51,310.73,149290000,49.91,306.06,308.32,-3.46,1.88,0.0007680491929020761,0.008906889589624711,0.02023141503941872,0.014100135285109176,0.013927905842294,0.010661985079143696
1990-10-25,312.6,310.17,313.71,309.7,141460000,48.75,305.96,308.56,-3.03,1.71,-0.0078038837206646505,0.012864905299450058,-0.05387373145765295,0.012905888208061697,0.013831114183442803,0.012054073954612702
1990-10-26,310.17,304.71,310.17,304.71,130190000,42.28,305.34,308.05,-2.73,1.19,-0.017760029647192255,0.017760029647192255,-0.08302206969853998,0.014106726579973465,0.014146815560496661,0.012076285721894054
1990-10-29,304.71,301.88,307.41,300.69,133980000,46.86,305.11,307.23,-2.57,0.65,-0.00933091720285173,0.022102527774851666,0.028695613170818035,0.014092851331737816,0.014197042539750944,0.012055606700525134
1990-10-30,301.88,304.06,304.36,299.44,153450000,53.77,305.37,306.8,-2.46,0.44,0.0071954629360222455,0.016297147712148963,0.13568424598562245,0.01336345707799937,0.014269668888092295,0.012082432746594457
1990-10-31,304.06,304.0,305.7,303.33,156060000,59.74,305.98,306.43,-2.38,0.3,-0.0001973489464681677,0.007782907125371885,0.016865767622871175,0.013357586374295287,0.014243230685513055,0.012577431014953901
1990-11-01,304.0,307.02,307.27,301.61,159270000,58.26,306.48,306.51,-2.28,0.42,0.009885190638833308,0.01859204781684909,0.020360326575072918,0.011540620270748656,0.014097148128495031,0.012528096858940485
1990-11-02,307.02,311.85,311.94,306.88,168700000,59.81,307.09,307.22,-2.08,0.79,0.015609410927076794,0.016354069928605774,0.0575211142882317,0.010371915224910589,0.014399933676344588,0.013336141706128844
1990-11-05,311.85,314.59,314.61,311.41,147510000,68.5,308.21,308.2,-1.78,1.18,0.008747900751424176,0.010223404592244023,-0.1342260194599625,0.010499952117979699,0.013868339414057667,0.012612911569342976
1990-11-06,314.59,311.62,314.76,311.43,142660000,64.24,309.13,308.66,-1.48,1.19,-0.009485706934347249,0.010635849793518837,-0.03343179324206602,0.010661985079143534,0.013840210810949959,0.012514589845472915
1990-11-07,311.62,306.01,311.62,305.79,149130000,50.31,309.15,308.31,-1.29,0.79,-0.01816671563223693,0.018885904940777465,0.04435423192479959,0.012054073954612558,0.014117395770564943,0.012864460703888194
1990-11-08,306.01,307.61,309.77,305.03,155570000,43.7,308.8,308.21,-1.13,0.61,0.00521496569901192,0.015419954198919505,0.04227738232433964,0.01207628572189391,0.013907547781022284,0.010927390014853865
1990-11-09,307.61,313.74,313.78,307.61,145160000,48.8,308.73,308.95,-0.92,0.87,0.019731870572110566,0.019859356548825424,-0.06925920875416125,0.012055606700524996,0.014036543179292134,0.011065931475070125
1990-11-12,313.74,319.48,319.77,313.73,161390000,57.77,309.24,310.35,-0.58,1.36,0.018130056621093793,0.019069243974882077,0.10598721370286057,0.012082432746594322,0.013437241281026661,0.009326364967068344
1990-11-13,319.48,317.67,319.48,317.26,160240000,55.35,309.6,311.33,-0.21,1.48,-0.005681565938715494,0.006973047068878913,-0.007151104690169774,0.01257743101495377,0.013483813744025554,0.007341612135962322
1990-11-14,317.67,320.4,321.7,317.23,179310000,60.72,310.33,312.54,0.21,1.66,0.00855710708373092,0.013992371402868464,0.1124434601467108,0.012528096858940354,0.013355712969328455,0.0071089301135301595
1990-11-15,320.4,317.02,320.4,316.13,151370000,63.49,311.21,313.14,0.57,1.47,-0.010605351824457543,0.013416693800881951,-0.16938898072979924,0.013336141706128719,0.013504808331040334,0.006577141490363614
1990-11-16,317.02,317.12,318.8,314.99,165440000,67.76,312.3,313.67,0.89,1.27,0.00031538777187734013,0.012023054626088658,0.08888142054559012,0.012612911569342841,0.013480795259262263,0.008137322973989064
1990-11-19,317.12,319.34,319.39,317.12,140950000,67.79,313.39,314.42,1.2,1.21,0.006976114769932096,0.007132675445340908,-0.16020337375994131,0.01251458984547278,0.013490693330540558,0.008224338647106286
1990-11-20,319.34,315.31,319.34,315.31,161170000,62.05,314.2,314.54,1.41,0.85,-0.012700084037279069,0.012700084037279069,0.13405449097450628,0.012864460703888062,0.012704035423088155,0.008220610735450926
1990-11-21,315.31,316.03,316.15,312.42,140660000,60.1,314.84,314.74,1.56,0.61,0.0022808639152920307,0.01186834810175963,-0.13611407765475647,0.010927390014853712,0.012308927723125775,0.006727055494805503
1990-11-23,316.03,315.1,317.3,315.06,63350000,53.99,315.07,314.79,1.65,0.35,-0.0029470970263396623,0.0070846017113268545,-0.7976707241127237,0.011065931475069974,0.011856086258806835,0.007074212726174583
1990-11-26,315.1,316.51,316.51,311.48,131540000,52.44,315.21,315.02,1.71,0.24,0.004464787898491807,0.016019705952935226,0.7306360811060557,0.009326364967068162,0.011601914545345588,0.007198969748769525
1990-11-27,316.51,318.1,318.65,315.79,147590000,58.53,315.67,315.43,1.77,0.25,0.005010962093377813,0.009015886051273014,0.11512717132048067,0.00734161213596209,0.011499619577265207,0.007197713017588493
1990-11-28,318.1,317.95,319.96,317.62,145490000,68.35,316.53,315.76,1.82,0.22,-0.0004716610416819478,0.007340288298120612,-0.014330803466386044,0.00710893011352992,0.011110276166137452,0.008009002748678065
1990-11-29,317.95,316.42,317.95,315.03,140920000,63.57,317.16,315.85,1.84,0.07,-0.004823692692498938,0.009226265327405336,-0.03191500225426225,0.006577141490363353,0.011172196995447643,0.008378740411319216
1990-11-30,316.42,322.22,323.02,315.42,192350000,63.19,317.76,316.7,1.92,0.33,0.018164097041923455,0.023809156750955296,0.3111242757252697,0.008137322973988857,0.010882391574859512,0.008149521007138727
1990-12-03,322.22,324.1,324.9,322.22,177000000,58.17,318.09,317.69,2.07,0.58,0.005817568084660607,0.008282900612213595,-0.0831668966244763,0.008224338647106082,0.010238824160399129,0.007202357282556804
1990-12-04,324.1,326.35,326.77,321.97,185820000,65.11,318.71,318.84,2.27,0.82,0.006918314933725078,0.014798186004266078,0.04862873063933648,0.008220610735450721,0.01023185436518705,0.007115181972120783
1990-12-05,326.35,329.92,329.92,325.66,205820000,66.1,319.39,320.32,2.56,1.14,0.010879775747368647,0.012996308492521536,0.1022235371947815,0.006727055494805259,0.01023801249126481,0.007813664119383812
1990-12-06,329.92,329.07,333.98,328.37,256380000,72.29,320.25,321.49,2.86,1.21,-0.0025797067372428373,0.016940089548606707,0.21965871847604035,0.00707421272617435,0.010268109774171025,0.007023411617741615
1990-12-07,329.07,327.75,329.39,326.39,164950000,68.81,321.01,322.32,3.13,1.07,-0.004019371447543385,0.009149473689920917,-0.4410183212093983,0.007198969748769295,0.01016995395951624,0.006963521626705141
1990-12-10,327.75,328.89,328.97,326.15,138650000,67.57,321.69,323.2,3.38,0.98,0.0034722257107491217,0.008609162955290017,-0.173689625612802,0.007197713017588263,0.009474075765414702,0.006918736712246285
1990-12-11,328.89,326.44,328.89,325.65,145330000,71.75,322.49,323.63,3.54,0.68,-0.007477183753516137,0.009900163362147829,0.04705424657629109,0.008009002748677857,0.009399698936708221,0.007178751696162675
1990-12-12,326.44,330.19,330.36,326.44,182270000,74.74,323.5,324.5,3.71,0.66,0.01142208175044157,0.011936804341473817,0.22648208559876437,0.008378740411319018,0.009501960245860367,0.006659196039436303
1990-12-13,330.19,329.34,330.58,328.77,162110000,74.95,324.52,325.15,3.84,0.53,-0.0025775945616306473,0.005490269345796328,-0.1172139870833604,0.008149521007138524,0.009537274856141987,0.006179304881970203
1990-12-14,329.34,326.82,329.34,325.16,151010000,67.39,325.25,325.37,3.9,0.22,-0.0076810911662148484,0.012773282911481054,-0.07092905736578459,0.0072023572825565705,0.009617845579832597,0.006161699824246597
1990-12-17,326.82,326.02,326.82,324.46,118560000,63.72,325.82,325.46,3.88,-0.07,-0.0024508314454942948,0.007247298641384958,-0.24192689823992097,0.007115181972120545,0.009302044837475067,0.005706441491348698
1990-12-18,326.02,330.05,330.43,325.75,176460000,68.48,326.68,326.07,3.88,-0.02,0.012285428956635869,0.014264620551363016,0.3976750602461827,0.007813664119383595,0.009419023839816078,0.006907688988622893
1990-12-19,330.05,330.2,330.8,329.39,180380000,71.97,327.67,326.62,3.87,-0.02,0.0004543733512480941,0.0042715040938956506,0.021971514943601278,0.007023411617741374,0.009187633382726922,0.006769710983779806
1990-12-20,330.2,330.12,330.74,326.94,174700000,65.41,328.23,327.09,3.86,-0.06,-0.00024230676154424202,0.011555900398988683,-0.03199551959755098,0.006963521626704898,0.008383235104141632,0.0066898019210513615
1990-12-21,330.12,331.75,332.47,330.12,233400000,65.06,328.78,327.71,3.85,-0.01,0.004925448487833606,0.0070934057369447245,0.28968350271244603,0.0069187367122460425,0.008380201306248237,0.008034301230831391
1990-12-24,331.75,329.9,331.75,329.16,57200000,57.1,329.03,328.0,3.82,-0.13,-0.005592094977781237,0.0078377184748053,-1.4061998214667035,0.007178751696162439,0.007844831463907548,0.0074148594472063884
1990-12-26,329.9,330.85,331.69,329.89,78730000,52.08,329.1,328.38,3.78,-0.18,0.0028755222235323785,0.00544153221542043,0.31947037881062457,0.006659196039436051,0.00721012278662944,0.007630939042567308
1990-12-27,330.85,328.29,331.04,328.23,102900000,48.38,329.04,328.37,3.68,-0.39,-0.007767736359607369,0.008524631840423957,0.2677333656436254,0.006179304881969928,0.007288077963589701,0.008717680907164831
1990-12-28,328.29,328.72,328.72,327.24,111030000,52.09,329.11,328.42,3.55,-0.51,0.0013089604766935992,0.004512477929656811,0.07604279222617194,0.006161699824246321,0.007151065591781753,0.00894230022759547
1990-12-31,328.72,330.22,330.23,327.5,114130000,52.82,329.21,328.66,3.42,-0.5,0.004552774428532302,0.008301326311606516,0.027537714499334953,0.005706441491348403,0.006842270703347426,0.008835525031276884
1991-01-02,330.22,326.45,330.75,326.45,126280000,50.02,329.21,328.36,3.24,-0.74,-0.011482301371044557,0.013086005362422881,0.1011635141242806,0.006907688988622648,0.007232285906035627,0.008765585038977581
1991-01-03,326.45,321.91,326.53,321.9,141450000,33.87,328.62,327.5,2.95,-1.16,-0.014004794262096887,0.01428088980477149,0.11344463405778527,0.00676971098377955,0.007634373004305972,0.00930789073688018
